t,v1,v2
0.000354,-1.6,-6.24
0.000356,-1.6,-6.24
0.000358,-1.6,-6.24
0.00036,-1.52,-6.24
0.000362,-1.52,-6.16
0.000364,-1.52,-6.16
0.000366,-1.52,-6.24
0.000368,-1.68,-6.16
0.00037,-1.76,-6.24
0.000372,-1.76,-6.24
0.000374,-1.92,-6.16
0.000376,-1.84,-6.16
0.000378,-1.84,-6.16
0.00038,-1.76,-6.16
0.000382,-1.76,-6.24
0.000384,-1.76,-6.24
0.000386,-1.76,-6.24
0.000388,-1.76,-6.24
0.00039,-1.84,-6.24
0.000392,-2,-6.24
0.000394,-2.08,-6.24
0.000396,-2.16,-6.24
0.000398,-2.16,-6.24
0.0004,-2.08,-6.24
0.000402,-2,-6.24
0.000404,-2,-6.16
0.000406,-2,-6.24
0.000408,-2,-6.24
0.00041,-2.08,-6.24
0.000412,-2.24,-6.16
0.000414,-2.32,-6.24
0.000416,-2.4,-6.24
0.000418,-2.48,-6.24
0.00042,-2.48,-6.24
0.000422,-2.48,-6.16
0.000424,-2.48,-6.24
0.000426,-2.4,-6.16
0.000428,-2.48,-6.24
0.00043,-2.48,-6.16
0.000432,-2.56,-6.24
0.000434,-2.64,-6.24
0.000436,-2.8,-6.16
0.000438,-2.8,-6.16
0.00044,-2.8,-6.16
0.000442,-2.8,-6.08
0.000444,-2.8,-6.16
0.000446,-2.72,-6.16
0.000448,-2.72,-6.16
0.00045,-2.72,-6.16
0.000452,-2.8,-6.16
0.000454,-2.88,-6.16
0.000456,-2.96,-6.08
0.000458,-2.96,-6.08
0.00046,-3.04,-6.08
0.000462,-3.04,-6.08
0.000464,-3.12,-6.08
0.000466,-3.04,-6.08
0.000468,-2.96,-6.08
0.00047,-2.96,-6.08
0.000472,-2.96,-6.08
0.000474,-3.04,-6.08
0.000476,-3.2,-6.08
0.000478,-3.28,-6.08
0.00048,-3.36,-6.08
0.000482,-3.36,-6.08
0.000484,-3.44,-6.08
0.000486,-3.44,-6
0.000488,-3.36,-6
0.00049,-3.36,-6
0.000492,-3.28,-5.92
0.000494,-3.36,-5.92
0.000496,-3.44,-6
0.000498,-3.52,-6
0.0005,-3.6,-6
0.000502,-3.68,-5.92
0.000504,-3.76,-5.92
0.000506,-3.68,-5.92
0.000508,-3.76,-5.92
0.00051,-3.6,-5.92
0.000512,-3.6,-5.92
0.000514,-3.6,-5.84
0.000516,-3.68,-5.84
0.000518,-3.68,-5.92
0.00052,-3.76,-5.84
0.000522,-3.84,-5.84
0.000524,-3.92,-5.84
0.000526,-3.92,-5.76
0.000528,-3.92,-5.68
0.00053,-3.84,-5.68
0.000532,-3.76,-5.6
0.000534,-3.76,-5.68
0.000536,-3.76,-5.6
0.000538,-3.84,-5.6
0.00054,-3.92,-5.6
0.000542,-4,-5.6
0.000544,-4.08,-5.6
0.000546,-4.16,-5.68
0.000548,-4.24,-5.68
0.00055,-4.16,-5.68
0.000552,-4.16,-5.68
0.000554,-4.16,-5.6
0.000556,-4.16,-5.6
0.000558,-4.16,-5.52
0.00056,-4.16,-5.52
0.000562,-4.32,-5.6
0.000564,-4.32,-5.6
0.000566,-4.4,-5.6
0.000568,-4.48,-5.52
0.00057,-4.4,-5.6
0.000572,-4.4,-5.6
0.000574,-4.4,-5.52
0.000576,-4.4,-5.52
0.000578,-4.32,-5.44
0.00058,-4.32,-5.44
0.000582,-4.4,-5.44
0.000584,-4.48,-5.44
0.000586,-4.56,-5.44
0.000588,-4.64,-5.36
0.00059,-4.64,-5.36
0.000592,-4.64,-5.36
0.000594,-4.64,-5.28
0.000596,-4.56,-5.28
0.000598,-4.56,-5.28
0.0006,-4.56,-5.2
0.000602,-4.64,-5.2
0.000604,-4.72,-5.2
0.000606,-4.8,-5.2
0.000608,-4.88,-5.2
0.00061,-4.88,-5.12
0.000612,-5.04,-5.12
0.000614,-4.96,-5.12
0.000616,-4.88,-5.12
0.000618,-4.8,-5.04
0.00062,-4.8,-5.04
0.000622,-4.8,-5.04
0.000624,-4.88,-5.04
0.000626,-4.96,-5.04
0.000628,-5.04,-4.96
0.00063,-5.04,-4.96
0.000632,-5.12,-4.96
0.000634,-5.12,-4.88
0.000636,-5.12,-4.88
0.000638,-5.04,-4.96
0.00064,-5.04,-4.88
0.000642,-4.96,-4.96
0.000644,-5.04,-4.88
0.000646,-5.04,-4.88
0.000648,-5.12,-4.88
0.00065,-5.2,-4.88
0.000652,-5.28,-4.8
0.000654,-5.36,-4.8
0.000656,-5.28,-4.8
0.000658,-5.28,-4.72
0.00066,-5.28,-4.72
0.000662,-5.2,-4.72
0.000664,-5.28,-4.72
0.000666,-5.28,-4.64
0.000668,-5.36,-4.64
0.00067,-5.44,-4.64
0.000672,-5.44,-4.64
0.000674,-5.52,-4.64
0.000676,-5.6,-4.56
0.000678,-5.52,-4.56
0.00068,-5.52,-4.48
0.000682,-5.44,-4.48
0.000684,-5.36,-4.56
0.000686,-5.36,-4.56
0.000688,-5.44,-4.48
0.00069,-5.52,-4.48
0.000692,-5.6,-4.4
0.000694,-5.6,-4.4
0.000696,-5.68,-4.4
0.000698,-5.76,-4.4
0.0007,-5.68,-4.4
0.000702,-5.6,-4.32
0.000704,-5.52,-4.32
0.000706,-5.52,-4.32
0.000708,-5.52,-4.24
0.00071,-5.52,-4.24
0.000712,-5.6,-4.24
0.000714,-5.68,-4.16
0.000716,-5.76,-4.16
0.000718,-5.84,-4.16
0.00072,-5.84,-4.16
0.000722,-5.76,-4.08
0.000724,-5.68,-4.08
0.000726,-5.68,-4.08
0.000728,-5.6,-4
0.00073,-5.68,-4
0.000732,-5.68,-4
0.000734,-5.76,-3.92
0.000736,-5.84,-3.92
0.000738,-5.92,-3.92
0.00074,-5.92,-3.92
0.000742,-5.92,-3.92
0.000744,-5.84,-3.92
0.000746,-5.84,-3.84
0.000748,-5.84,-3.84
0.00075,-5.84,-3.76
0.000752,-5.84,-3.76
0.000754,-5.92,-3.76
0.000756,-6,-3.76
0.000758,-6,-3.76
0.00076,-6.08,-3.76
0.000762,-6.08,-3.76
0.000764,-6,-3.68
0.000766,-6,-3.68
0.000768,-6,-3.68
0.00077,-5.92,-3.6
0.000772,-6,-3.52
0.000774,-6,-3.52
0.000776,-6,-3.52
0.000778,-6.08,-3.44
0.00078,-6.08,-3.44
0.000782,-6.24,-3.44
0.000784,-6.16,-3.44
0.000786,-6.16,-3.44
0.000788,-6.08,-3.36
0.00079,-6.08,-3.36
0.000792,-6.08,-3.36
0.000794,-6.08,-3.36
0.000796,-6.16,-3.36
0.000798,-6.16,-3.44
0.0008,-6.24,-3.36
0.000802,-6.24,-3.28
0.000804,-6.24,-3.28
0.000806,-6.24,-3.28
0.000808,-6.24,-3.2
0.00081,-6.16,-3.2
0.000812,-6.16,-3.12
0.000814,-6.16,-3.12
0.000816,-6.16,-3.04
0.000818,-6.16,-3.04
0.00082,-6.24,-3.04
0.000822,-6.32,-2.96
0.000824,-6.32,-2.88
0.000826,-6.32,-2.96
0.000828,-6.32,-2.88
0.00083,-6.32,-2.88
0.000832,-6.24,-2.88
0.000834,-6.24,-2.8
0.000836,-6.24,-2.8
0.000838,-6.24,-2.8
0.00084,-6.32,-2.72
0.000842,-6.4,-2.72
0.000844,-6.48,-2.64
0.000846,-6.48,-2.64
0.000848,-6.48,-2.64
0.00085,-6.48,-2.64
0.000852,-6.4,-2.48
0.000854,-6.32,-2.56
0.000856,-6.32,-2.56
0.000858,-6.32,-2.56
0.00086,-6.32,-2.56
0.000862,-6.4,-2.48
0.000864,-6.48,-2.48
0.000866,-6.48,-2.48
0.000868,-6.56,-2.4
0.00087,-6.48,-2.4
0.000872,-6.48,-2.4
0.000874,-6.4,-2.4
0.000876,-6.4,-2.4
0.000878,-6.32,-2.4
0.00088,-6.32,-2.32
0.000882,-6.32,-2.24
0.000884,-6.48,-2.24
0.000886,-6.48,-2.24
0.000888,-6.56,-2.16
0.00089,-6.56,-2.16
0.000892,-6.56,-2.16
0.000894,-6.48,-2.08
0.000896,-6.48,-2.08
0.000898,-6.4,-2
0.0009,-6.48,-2
0.000902,-6.4,-2.08
0.000904,-6.48,-2
0.000906,-6.48,-2
0.000908,-6.56,-2
0.00091,-6.64,-1.92
0.000912,-6.64,-1.92
0.000914,-6.56,-1.84
0.000916,-6.48,-1.84
0.000918,-6.4,-1.84
0.00092,-6.32,-1.76
0.000922,-6.4,-1.76
0.000924,-6.4,-1.76
0.000926,-6.48,-1.68
0.000928,-6.48,-1.68
0.00093,-6.56,-1.68
0.000932,-6.56,-1.6
0.000934,-6.56,-1.6
0.000936,-6.56,-1.6
0.000938,-6.48,-1.52
0.00094,-6.4,-1.44
0.000942,-6.4,-1.44
0.000944,-6.4,-1.44
0.000946,-6.4,-1.36
0.000948,-6.48,-1.44
0.00095,-6.56,-1.44
0.000952,-6.64,-1.36
0.000954,-6.64,-1.36
0.000956,-6.64,-1.36
0.000958,-6.56,-1.36
0.00096,-6.48,-1.28
